TimeStep,ID,Latitude,Longitude,finished,level
1,0,47.992151,-103.037151,1,1
2,0,47.989178,-103.03718,1,1
3,0,47.988879,-103.037229,1,1
4,0,47.988566,-103.037339,1,1
5,0,47.988171,-103.037552,1,1
6,0,47.987225,-103.038133,1,1
7,0,47.986526,-103.038543,1,1
8,0,47.985946,-103.038892,1,1
9,0,47.984897,-103.039557,1,1
10,0,47.984045,-103.040097,1,1
11,0,47.983748,-103.040231,1,1
12,0,47.983103,-103.04038,1,1
13,0,47.982746,-103.040393,1,1
14,0,47.982298,-103.040301,1,1
15,0,47.980692,-103.03979,1,1
16,0,47.980125,-103.039675,1,1
17,0,47.980106,-103.039318,1,1
18,0,47.980117,-103.038511,1,1
19,0,47.980086,-103.035718,1,1
20,0,47.980068,-103.032739,1,1
21,0,47.980042,-103.029288,1,1
22,0,47.980013,-103.027588,1,1
23,0,47.980011,-103.026746,1,1
24,0,47.980011,-103.026508,1,1
25,0,47.979999,-103.024819,1,1
26,0,47.979985,-103.023541,1,1
27,0,47.979985,-103.023032,1,1
28,0,47.979971,-103.02225,1,1
29,0,47.979952,-103.021605,1,1
30,0,47.979917,-103.021036,1,1
31,0,47.979831,-103.020406,1,1
32,0,47.97972,-103.019752,1,1
33,0,47.979593,-103.019201,1,1
34,0,47.97953,-103.018927,1,1
35,0,47.979198,-103.017562,1,1
36,0,47.978886,-103.016382,1,1
37,0,47.978626,-103.015299,1,1
38,0,47.978393,-103.014389,1,1
39,0,47.978043,-103.012925,1,1
40,0,47.9779,-103.012397,1,1
41,0,47.977746,-103.011695,1,1
42,0,47.977679,-103.011176,1,1
43,0,47.977642,-103.010507,1,1
44,0,47.977613,-103.009788,1,1
45,0,47.977628,-103.007254,1,1
46,0,47.977642,-103.006149,1,1
47,0,47.977627,-103.003262,1,1
48,0,47.977621,-103.002052,1,1
49,0,47.977636,-102.999109,1,1
50,0,47.977622,-102.997661,1,1
51,0,47.977618,-102.997595,1,1
52,0,47.977626,-102.996154,1,1
53,0,47.977623,-102.99454,1,1
54,0,47.977632,-102.992678,1,1
55,0,47.977623,-102.9912,1,1
56,0,47.977627,-102.990585,1,1
57,0,47.977632,-102.989785,1,1
58,0,47.977624,-102.985563,1,1
59,0,47.977622,-102.984515,1,1
60,0,47.977614,-102.982609,1,1
61,0,47.977642,-102.980894,1,1
62,0,47.977619,-102.978611,1,1
63,0,47.977629,-102.977269,1,1
64,0,47.977622,-102.9764,1,1
65,0,47.97762,-102.97393,1,1
66,0,47.977625,-102.9728,1,1
67,0,47.977618,-102.970031,1,1
68,0,47.977623,-102.96751,1,1
69,0,47.977609,-102.964345,1,1
70,0,47.977625,-102.963147,1,1
71,0,47.977629,-102.962864,1,1
72,0,47.977634,-102.962481,1,1
73,0,47.977628,-102.961178,1,1
74,0,47.97762,-102.960309,1,1
75,0,47.977628,-102.959316,1,1
76,0,47.977624,-102.957714,1,1
77,0,47.977628,-102.955591,1,1
78,0,47.977627,-102.952263,1,1
79,0,47.977625,-102.951195,1,1
80,0,47.977616,-102.950674,1,1
81,0,47.977635,-102.94896,1,1
82,0,47.977611,-102.946217,1,1
83,0,47.977625,-102.944665,1,1
84,0,47.977624,-102.943212,1,1
85,0,47.97763,-102.941397,1,1
86,0,47.977623,-102.94084,1,1
87,0,47.977619,-102.939227,1,1
88,0,47.97762,-102.937886,1,1
89,0,47.977597,-102.936359,1,1
90,0,47.97762,-102.93537,1,1
91,0,47.97762,-102.934067,1,1
92,0,47.977627,-102.932465,1,1
93,0,47.977627,-102.929981,1,1
94,0,47.977627,-102.929535,1,1
95,0,47.977621,-102.927576,1,1
96,0,47.977631,-102.925546,1,1
97,0,47.977609,-102.923342,1,1
98,0,47.977621,-102.921085,1,1
99,0,47.977611,-102.919872,1,1
100,0,47.97762,-102.918093,1,1
101,0,47.977607,-102.916423,1,1
102,0,47.977607,-102.914481,1,1
103,0,47.977594,-102.912496,1,1
104,0,47.977593,-102.911862,1,1
105,0,47.97759,-102.910667,1,1
106,0,47.97758,-102.909128,1,1
107,0,47.977587,-102.907282,1,1
108,0,47.977588,-102.905375,1,1
109,0,47.977575,-102.903058,1,1
110,0,47.977572,-102.901588,1,1
111,0,47.977584,-102.900975,1,1
112,0,47.977587,-102.898292,1,1
